Hostplus Superannuation Fund,,,,
HC Conservative Balanced - Class A Option,,,,
,,,,
Table 1 - Assets,,,,
,,,,
Portfolio Holdings Information for Investment Option HC Conservative Balanced - Class A Option —Assets,,,Summary,
Cash,,,,
Name of Institution,Currency,,Value (AUD),Weighting (%)
WOLTERS KLUWER CVA EUR0.12,5671519,"2,387","640,331",0.03%
WOODSIDE ENERGY GROUP LTD,BMGT167,"176,747","4,347,988",0.21%
WOOLWORTHS GROUP LTD,6981239,"57,909","1,765,660",0.09%
WORKDAY INC-CLASS A COM USD0.001,B8K6ZD1,"2,215","922,914",0.04%
WORLDLINE SA - W/I WORLDLINE SA - W/I,BNFWR44,0,0,0.00%
WORLEY GROUP LTD SHS,6562474,"244,364","3,347,783",0.16%
WP CAREY INC COM USD0.001,B826YT8,50,"4,418",0.00%
WPP PLC,B8KF9B4,270,"4,526",0.00%
WSP GLOBAL INC,BHR3R21,24,"6,894",0.00%
WULIANGYE YIBIN CO LTD-A,BD5CPG2,"12,702","391,317",0.02%
WUXI APPTEC CO LTD-A,BHWLWV4,"2,235","27,061",0.00%
WYNN RESORTS LTD,2963811,17,"2,333",0.00%
XCEL ENERGY INC COM,2614807,130,"14,139",0.00%
XCMG CONSTRUCTION MACHIN-A,BD5CM27,"22,519","39,286",0.00%
XERO LTD,B8P4LP4,"30,219","5,093,738",0.25%
XIAMEN C & D INC-A,BP3R6L5,"18,731","43,351",0.00%
XIAMEN FARATRONIC CO LTD-A,BP3RDD6,"3,900","102,038",0.00%
XI'AN MANARECO NEW MATERIA-A,CNE100005X80 (ISIN),77,529,0.00%
XIAOMI CORP-CLASS B,BG0ZMJ9,"159,982","1,147,589",0.06%
XINFENGMING GROUP CO LTD-A,BFB4M98,"3,522","8,625",0.00%
XINJIANG GOLDWIND SCI&TECH-A,BD5CQ58,"8,564","19,463",0.00%
XINYI GLASS HOLDING CO LTD,B05NXN7,"251,205","412,099",0.02%
XINYI SOLAR HLDGS,BGQYNN1,"317,346","207,186",0.01%
XYLEM INC COM USD0.01 WI,B3P2CN8,47,"8,807",0.00%
YAKULT HONSHA CO LTD,6985112,42,"1,275",0.00%
YAMAHA MOTOR CO LTD,6985264,216,"3,118",0.00%
YANCOAL AUSTRALIA LTD,B84LB45,"13,286","86,357",0.00%
YANGZIJIANG SHIPBUILDING NPV,B1VT035,450,"1,592",0.00%
YARA INTERNATIONAL ASA NOK1.7,7751259,17,710,0.00%
YASKAWA ELECTRIC CORP JPY50,6986041,38,"1,598",0.00%
YDUQS PART,BJGV3C2,"79,335","177,338",0.01%
YEALINK NETWORK TECHNOLOGY-A,BFCCR07,"13,801","117,194",0.01%
YETI HOLDINGS INC,BGR7KH2,"4,613","286,919",0.01%
YOKOGAWA ELECTRIC CORP,6986427,17,586,0.00%
YOUCARE PHARMACEUTICAL GRO-A,CNE100005XQ2 (ISIN),255,810,0.00%
YUM BRANDS INC COM,2098876,50,"10,755",0.00%
YUNNAN ALUMINIUM CO LTD-A,BD5CB75,"16,234","48,322",0.00%
YUNNAN BAIYAO GROUP CO LTD-A,BD5CP95,"6,324","83,405",0.00%
YUNNAN YUNTIANHUA CO-A,BP3RBJ8,"25,390","124,562",0.01%
ZALANDO SE ZAL,BQV0SV7,78,"4,238",0.00%
ZEALAND PHARMA A/S DKK1,B0SDJB4,-6,-994,0.00%
ZEBRA TECHNOLOGIES CORP-CL A 'A'COM USD0,2989356,527,"328,940",0.02%
ZENKOKU HOSHO CO L NPV,B92MT10,"3,538","201,581",0.01%
ZENSHO CO LTD NPV,6042608,18,"1,645",0.00%
ZHEJIANG CHINT ELECTRICS-A,BP3R5K7,"15,607","80,379",0.00%
ZHEJIANG CRYSTAL-OPTECH -A,BD5C9N7,"15,015","73,396",0.00%
ZHEJIANG DINGLI MACHINERY -A,BYZW440,"5,235","74,302",0.00%
ZHEJIANG HUAYOU COBALT CO - A,BFF5BV2,"2,903","18,686",0.00%
ZHEJIANG LONGSHENG GROUP C-A,BP3R4W2,"6,278","14,212",0.00%
ZHEJIANG MEDICINE CO LTD-A,BP3R9X8,839,"2,927",0.00%
ZHEJIANG NHU CO LTD-A,BD5CH66,"9,621","46,500",0.00%
ZHEJIANG SEMIR GARMENT CO-A,BD5CM83,"41,660","64,339",0.00%
ZHEJIANG WEIXING INDUSTRI-A,BHQPRH3,"36,712","114,446",0.01%
ZHENGZHOU COAL MINING MACH-A,BP3RCS4,"5,614","16,032",0.00%
ZHENGZHOU YUTONG BUS CO - A,BP3R5T6,"21,109","122,507",0.01%
ZHONGJI INNOLIGHT CO LTD-A,BFFJRM7,"6,603","179,427",0.01%
ZHUHAI COSMX BATTERY CO LT-A,CNE100005030 (ISIN),500,"1,769",0.00%
ZIJIN MINING GROUP CO LTD-A,BP3R400,"55,716","185,332",0.01%
ZIJIN MINING GROUP CO LTD-H,6725299,"71,058","208,912",0.01%
ZILLOW GROUP INC - C  W/I ZCVVV,BYXJF62,"6,960","832,360",0.04%
ZIMMER BIOMET HOLDINGS INC,2783815,43,"7,299",0.00%
ZIP CO LTD,BPP1Y77,"92,987","275,240",0.01%
ZOETIS INC COM USD0.01 CL 'A',B95WG16,90,"23,673",0.00%
ZOOM COMMUNICATIONS INC,BGSP7M9,46,"6,042",0.00%
ZOZO INC,B292RC1,34,"1,731",0.00%
ZSCALER INC,BZ00V34,21,"6,222",0.00%
ZTE CORP-A,BD5CPY0,"9,717","86,365",0.00%
ZURICH INSURANCE GROUP AG,5983816,29,"27,590",0.00%
Total,,,"667,801,483",32.45%
Unlisted Equity,,,,
Investment in non?associated entities;,,,,
Held directly or by associated entities or by PSTs,,,,
Externally managed,,,,
Name of Fund Manager,,,Value (AUD),Weighting (%)
AIF Capital Asia Management Ltd,,,"80,315",0.00%
Airtree Ventures,,,"409,694",0.02%
Apollo Global Management,,,"2,191,766",0.11%
Apostle Funds Management,,,"37,842,876",1.84%
Artesian Venture Capital,,,"1,717,783",0.08%
Artesian Venture Partners Pty Ltd,,,"9,587",0.00%
Baillie Gifford Overseas Limited,,,"2,266,445",0.11%
BB6 (HP) Trust,,,"112,566",0.01%
BCP HostPlus Co-Investment Trust,,,"128,260",0.01%
Blackbird Ventures Pty Limited,,,"8,654,306",0.42%
Blackrock,,,"1,868,288",0.09%
Blackstone and Co,,,"18,756,917",0.91%
Brandon Capital Partners,,,"1,621,901",0.08%
Carthona Capital FS Pty Ltd,,,"1,560,535",0.08%
Citibank Transtition Team,,,"42,599",0.00%
Continuity Capital Partners Pty Limited,,,"6,663",0.00%
Cornell Capital,,,"475,095",0.02%
Cross Ocean Partners,,,"705,412",0.03%
CSIRO Financial Services Pty Ltd,,,"1,466,023",0.07%
Fife Capital,,,"1,958",0.00%
Five V Capital Pty Ltd,,,"147,944",0.01%
Flexstone Partners,,,"6,723,777",0.33%
Hamilton Lane,,,"1,957,630",0.10%
Harbourvest Partners,,,"256,696",0.01%
Hermes GPE LLP,,,"2,044,098",0.10%
Hosking Partners LLP,,,"167,087",0.01%
IFM Investors Pty Ltd ,,,"3,258,591",0.16%
Indigo Asset Management,,,"1,153",0.00%
IP2IPO Australia Pty Ltd,,,"1,214,259",0.06%
iPG Funds,,,"111,171",0.01%
ISPT Pty Ltd,,,0,0.00%
Kelso & Company L.P.,,,"2,251,126",0.11%
Lexington Partners,,,"2,321,505",0.11%
LGT Capital Partners (Ireland) Limited,,,"2,969,833",0.14%
Maverick Capital Ltd.,,,"25,191,054",1.22%
MH Carnegie & Co,,,"516,458",0.03%
Morgan Stanley,,,"2,459,186",0.12%
ORBIS Investment Management Limited,,,"49,168,065",2.39%
Paradice Investment Management,,,"1,436,969",0.07%
Partners Group,,,"5,506,355",0.27%
Pomona Capital,,,431,0.00%
ROC Capital Pty Ltd,,,"1,965,308",0.10%
Safar Partners LLC,,,"3,856,242",0.19%
Siguler Guff & Company LP,,,"5,404,684",0.26%
Square Peg Capital Pty Ltd,,,"6,636,464",0.32%
T Rowe Price,,,"244,296",0.01%
T Ventures Management Co Ltd,,,"767,367",0.04%
Virtual Communities Pty Ltd,,,"9,489",0.00%
Warburg Pincus LLC,,,"1,832",0.00%
Wilshire Advisors LLC,,,"35,940",0.00%
Wollemi Capital,,,"328,265",0.02%
Total,,,"206,872,263",10.05%
Unlisted Property,,,,
Held directly or by associated entities or by PSTs,,,,
Internally managed,,,,
Name/kind of investment item,Address,% of property held,Value (AUD),Weighting (%)
Hostplus Commercial Trust,"Levels 1, 9 & 10,  270 Adelaide Street, Brisbane, QLD 4000",100.00%,"82,173",0.00%
Hostplus Residential PropertyTrust,"173 -175 Phillip Street, Sydney NSW",90.00%,,0.00%
Hostplus Residential PropertyTrust,"54 Bracks St, North Fremantle WA",60.00%,,0.00%
Hostplus Residential PropertyTrust,"64 Peel Street & 9 Cordella St, South Brisbane QLD",60.00%,,0.00%
Hostplus Residential PropertyTrust,"Helensvale, Helensvale QLD",50.00%,,0.00%
Hostplus Residential PropertyTrust,"Moonee Valley, Moonee Valley VIC",72.00%,,0.00%
Hostplus Residential PropertyTrust,,100.00%,"1,587,923",0.08%
Total,,,"1,670,096",0.08%
Unlisted Property,,,,
Investment in non?associated entities;,,,,
Held directly or by associated entities or by PSTs,,,,
Externally managed,,,,
Name of Fund Manager,,,Value (AUD),Weighting (%)
AMP Capital Investors,,,"120,831",0.01%
BlackRock Investment Management (UK) Limited,,,103,0.00%
Blackstone and Co,,,"116,358",0.01%
Blackstone Real Estate Partners Europe,,,"588,846",0.03%
Charter Hall Funds Management Limited,,,"44,192,670",2.15%
Chauvel Capital Partners,,,"876,616",0.04%
DEXUS Property Group,,,"3,611,713",0.18%
Flexstone Partners,,,"953,749",0.05%
Gresham Capital Partners,,,262,0.00%
Invesco Adviser INC NA,,,"6,916,711",0.34%
ISPT Pty Ltd,,,"26,575,840",1.29%
Kayne Anderson Capital Advisors LP,,,"30,133,201",1.46%
Lendlease Investment Management Pte Ltd,,,"297,789",0.01%
Lendlease Real Estate Investments Limited,,,"25,355,175",1.23%
Nuveen,,,"10,922,770",0.53%
Pretium Partners,,,"9,800,136",0.48%
QIC Limited,,,"2,994,382",0.15%
Total,,,"163,457,151",7.94%
Unlisted Infrastructure,,,,
Investment in non?associated entities;,,,,
Held directly or by associated entities or by PSTs,,,,
Externally managed,,,,
Name of Fund Manager,,,Value (AUD),Weighting (%)
Adelaide Airport Limited,,,"6,656,593",0.32%
AMP Capital Investors,,,"3,514,729",0.17%
ARES Management LLC,,,"3,595",0.00%
Campus Living Funds Management Limited,,,"4,403,554",0.21%
Colonial First State Infrastructure Holdings Limited,,,"2,171",0.00%
Darling Harbour Live 3 Pty Limited,,,"1,007,337",0.05%
Darling Harbour Live 4 Pty Limited,,,"1,007,337",0.05%
First Sentier Investors,,,"48,187,047",2.34%
FP Consortium Pty Ltd,,,"6,026,920",0.29%
Gardior,,,"864,026",0.04%
Global Infrastructure Partners,,,"8,571,855",0.42%
Golden NA Power Holdings,,,"3,134,064",0.15%
IFM Investors Pty Ltd ,,,"57,937,662",2.82%
Macquarie Investment Management Australia Ltd,,,"1,477",0.00%
Morrison & Co Utilities Management (Australia) Pty Ltd,,,"22,320,284",1.08%
NSW Ports Property Holdings,,,"1,827,579",0.09%
NSW Ports Pty Ltd,,,0,0.00%
Octopus Investments Australia,,,"2,473,948",0.12%
QGIF IONA,,,"97,990",0.00%
QIC Limited,,,"10,757,918",0.52%
Queensland Government Insurance Fund,,,"1,386,629",0.07%
Stonepeak Infrastructure Partners,,,"1,046,316",0.05%
Utilities of Aust Pty Ltd,,,0,0.00%
Total,,,"181,229,030",8.81%
Unlisted Alternatives,,,,
Investment in non?associated entities;,,,,
Held directly or by associated entities or by PSTs,,,,
Externally managed,,,,
Name of Fund Manager,,,Value (AUD),Weighting (%)
Apollo Global Management,,,"5,456,040",0.27%
Apostle Funds Management,,,"1,177,440",0.06%
Athora Holding Ltd,,,"10,658,779",0.52%
Blackstone and Co,,,"35,973,866",1.75%
Blue Ocean Equities,,,"144,694",0.01%
Fitzroy Horizons Fund,,,"20,424,090",0.99%
Hayfin Management Limited,,,"7,284,054",0.35%
Irradiant Partners,,,"2,507,253",0.12%
Kayne Anderson Capital Advisors LP,,,"14,215,159",0.69%
Select Market Access Fund Ltd,,,"25,131,808",1.22%
Snow Phipps & Guggenheim,,,"21,037",0.00%
Taconic Capital Advisors,,,"2,625,599",0.13%
Willow Tree Credit Parters LP,,,"5,156,034",0.25%
Total,,,"130,775,853",6.35%
Total Investment Items,,,"2,057,845,175",100.00%
,,,,
,,,,
Table 2 — Derivatives by kind of derivative,,,,
,,,,
Portfolio Holdings Information for Investment Option HC Conservative Balanced - Class A Option —Derivatives,,,,
Kind of derivative,,,Value (AUD),Weighting (%)
Swaps,,,0,0.00%
Forwards,,,"-36,189,821",-1.76%
Futures,,,"-613,775",-0.03%
Options,,,0,0.00%
Total,,,"-36,803,596",-1.79%
,,,,
,,,,
Table 3 — Derivatives by asset class,,,,
,,,,
Portfolio Holdings Information for Investment Option HC Conservative Balanced - Class A Option —Derivatives by Asset Class,,,,
Asset class,,,Actual asset allocation (% of total assets (including derivatives) in the investment option),Effect of derivatives exposure (% of total assets (including derivatives) in the investment option)
Cash,,,13.33%,-1.15%
Fixed Income,,,21.00%,0.10%
Equity,,,42.89%,1.05%
Property,,,7.94%,0.00%
Infrastructure,,,8.85%,0.00%
Alternatives,,,6.00%,0.00%
Total,,,100.00%,0.00%
,,,,
,,,,
Table 4—Derivatives by currency,,,,
,,,,
Portfolio Holdings Information for Investment Option HC Conservative Balanced - Class A Option —Derivatives by Currency,,,,
Currency exposure,,,Actual currency exposure (% of assets and derivatives under management),Effect of derivatives exposure (% of assets and derivatives under management))
AUD,,,58.22%,22.96%
USD,,,29.76%,-16.73%
Developed,,,7.22%,-3.97%
Emerging,,,4.79%,-1.10%
